YearStart,YearEnd,StateAbbr,LocationAbbr,LocationDesc,GeographicLevel,DataSource,Topic,Category,Question,Response,Age,Sex,RaceEthnicity,RiskFactor,RiskFactorResponse,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_limit,High_Confidence_Limit,Numerator,LocationID,GeoLocation,TopicID,CategoryID,QuestionID,ResponseID,DataValueTypeID,AgeID,SexID,RaceEthnicityID,RiskFactorID,RiskFactorResponseID,NonWeightedSample,WeightedSample,SampleSize
2022,2022,US,US,National,National,NHATS,Visual Function,Contrast Sensitivity,Contrast sensitivity,Any Contrast sensitivity loss,70-74 years,Both sexes,"Hispanic, any race",All participants,Total,%,Crude Prevalence,34.73,,,22.13,49.13,402051,59,,TVFUNC,CCONT,QCNTRST,RCONTANY,CRDPREV,AGE7074,GALL,HISP,RFAPAR,RFTOT,130,1157532,
2022,2022,US,US,National,National,NHATS,Visual Function,Measured Visual Acuity,Presenting visual acuity,Presenting with mild visual impairment,85-89 years,Both sexes,"White, non-Hispanic",All participants,Total,%,Crude Prevalence,40.12,,,33.75,46.75,1051869,59,,TVFUNC,CVISAC,QPVISA,RVPMIL,CRDPREV,AGE8589,GALL,WHT,RFAPAR,RFTOT,495,2621769,
2022,2022,US,US,National,National,NHATS,Visual Function,Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,65 years and older,Both sexes,"Hispanic, any race",Smoking,No,%,Crude Prevalence,62.04,,,52.84,70.65,724344,59,,TVFUNC,CVISAC,QPVISA,RVPNOR,CRDPREV,AGE65PLUS,GALL,HISP,RFSM,RFNO,193,1167480,
2022,2022,US,US,National,National,NHATS,Visual Function,Measured Visual Acuity,Presenting near acuity,Presenting with any near acuity loss,65 years and older,Male,Other,All participants,Total,%,Crude Prevalence,34.71,,,21.35,50.09,362503,59,,TVFUNC,CVISAC,QPNEAR,RVPNEAR,CRDPREV,AGE65PLUS,GM,OTH,RFAPAR,RFTOT,86,1044412,
2022,2022,US,US,National,National,NHATS,Visual Function,Contrast Sensitivity,Contrast sensitivity,Normal Contrast Sensitivity,65 years and older,Male,All races,Residential care,Yes,%,Crude Prevalence,53.81,,,40.2,67.01,342498,59,,TVFUNC,CCONT,QCNTRST,RCONTNORM,CRDPREV,AGE65PLUS,GM,ALLRACE,RFRES,RFYES,105,636539,
2022,2022,US,US,National,National,NHATS,Visual Function,Contrast Sensitivity,Contrast sensitivity,Severe Contrast Sensitivity Loss,70-74 years,Both sexes,Other,All participants,Total,%,Crude Prevalence,,#,Value suppressed,,,,59,,TVFUNC,CCONT,QCNTRST,RCONTSEV,CRDPREV,AGE7074,GALL,OTH,RFAPAR,RFTOT,,,
2022,2022,US,US,National,National,NHATS,Visual Function,Measured Visual Acuity,Presenting near acuity,Presenting with normal near acuity,75-79 years,Both sexes,Other,All participants,Total,%,Crude Prevalence,,#,Value suppressed,,,,59,,TVFUNC,CVISAC,QPNEAR,RVPNEARNOR,CRDPREV,AGE7579,GALL,OTH,RFAPAR,RFTOT,,,
2022,2022,US,US,National,National,NHATS,Visual Function,Contrast Sensitivity,Contrast sensitivity,Severe Contrast Sensitivity Loss,65 years and older,Both sexes,All races,Residential care,Yes,%,Age-adjusted Prevalence,16.38,,,10.62,22.14,327260,59,,TVFUNC,CCONT,QCNTRST,RCONTSEV,AGEADJPREV,AGE65PLUS,GALL,ALLRACE,RFRES,RFYES,296,1997925,
2022,2022,US,US,National,National,NHATS,Visual Function,Contrast Sensitivity,Contrast sensitivity,Severe Contrast Sensitivity Loss,65 years and older,Both sexes,"Hispanic, any race",Smoking,Yes,%,Crude Prevalence,,#,Value suppressed,,,,59,,TVFUNC,CCONT,QCNTRST,RCONTSEV,CRDPREV,AGE65PLUS,GALL,HISP,RFSM,RFYES,,,
2022,2022,US,US,National,National,NHATS,Visual Function,Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,65 years and older,Both sexes,All races,Residential care,No,%,Age-adjusted Prevalence,73.63,,,71.53,75.73,33943163,59,,TVFUNC,CVISAC,QPVISA,RVPNOR,AGEADJPREV,AGE65PLUS,GALL,ALLRACE,RFRES,RFNO,5133,46099637,
2022,2022,US,US,National,National,NHATS,Visual Function,Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,75-79 years,Both sexes,All races,Smoking,Yes,%,Crude Prevalence,35.65,,,22.65,50.41,251817,59,,TVFUNC,CVISAC,QPVISA,RVPIMP,CRDPREV,AGE7579,GALL,ALLRACE,RFSM,RFYES,95,706298,
